Proprity,Section,Subsection,Category Name (TR),Full URL
1,Lingerie,Panties,Külot,https://www.marksandspencer.com.tr/kadin-kulot/
2,Lingerie,Panties,Yeni Gelen Külotlar,https://www.marksandspencer.com.tr/yeni-gelen-kulotlar/
3,Lingerie,Panties,Paket Külotlar,https://www.marksandspencer.com.tr/kadin-paket-kulotlar/
4,Lingerie,Panties,Yüksek Bel Külot,https://www.marksandspencer.com.tr/yuksek-bel-kulot/
5,Lingerie,Panties,Brazilian Külotlar,https://www.marksandspencer.com.tr/kadin-brazilian-kulotlar/
6,Lingerie,Panties,Bikini Külotlar,https://www.marksandspencer.com.tr/kadin-bikini-kulotlar/
7,Lingerie,Panties,Full Brief Külotlar,https://www.marksandspencer.com.tr/kadin-full-brief-kulotlar/
8,Lingerie,Panties,Short Külotlar,https://www.marksandspencer.com.tr/kadin-short-kulotlar/
9,Lingerie,Panties,Midi Külotlar,https://www.marksandspencer.com.tr/kadin-midi-kulotlar/
10,Lingerie,Panties,Tanga,https://www.marksandspencer.com.tr/tanga/
11,Lingerie,Panties,İz Bırakmayan Külotlar,https://www.marksandspencer.com.tr/kadin-iz-birakmayan-kulotlar/
12,Lingerie,Panties,Pamuklu Külotlar,https://www.marksandspencer.com.tr/kadin-pamuklu-kulotlar/
13,Lingerie,Panties,Dantelli Külotlar,https://www.marksandspencer.com.tr/kadin-dantelli-kulotlar/
14,Lingerie,Panties,Regl Külodu,https://www.marksandspencer.com.tr/regl-kulodu/
15,Men,Underwear & Intimate,İç Giyim & Pijama,https://www.marksandspencer.com.tr/erkek-ic-giyim-pijama/
16,Men,Underwear & Intimate,Yeni Gelen İç Giyim & Pijama,https://www.marksandspencer.com.tr/yeni-gelen-erkek-ic-giyim-pijama/
17,Men,Underwear & Intimate,Termaller,https://www.marksandspencer.com.tr/erkek-termaller/
18,Men,Underwear & Intimate,Termal Atlet,https://www.marksandspencer.com.tr/erkek-termal-atlet/
19,Men,Underwear & Intimate,Termal İçlik,https://www.marksandspencer.com.tr/erkek-termal-iclik/
20,Men,Underwear & Intimate,Külot,https://www.marksandspencer.com.tr/erkek-kulot/
21,Men,Underwear & Intimate,Boxer Külotlar,https://www.marksandspencer.com.tr/erkek-boxer-kulotlar/
22,Men,Underwear & Intimate,Brief Külotlar,https://www.marksandspencer.com.tr/erkek-brief-kulotlar/
23,Men,Underwear & Intimate,Hipster Külotlar,https://www.marksandspencer.com.tr/erkek-hipster-kulotlar/
24,Men,Underwear & Intimate,Slip Külotlar,https://www.marksandspencer.com.tr/erkek-slip-kulotlar/
25,Men,Underwear & Intimate,Trunk Külotlar,https://www.marksandspencer.com.tr/erkek-trunk-kulotlar/
26,Men,Underwear & Intimate,Desenli Külotlar,https://www.marksandspencer.com.tr/erkek-desenli-kulotlar/
27,Men,Underwear & Intimate,Düz Külotlar,https://www.marksandspencer.com.tr/erkek-duz-kulotlar/
50,Summer Sale,Lingerie,Tümü,https://www.marksandspencer.com.tr/indirim-icgiyim/
51,Summer Sale,Lingerie,Sütyen,https://www.marksandspencer.com.tr/indirim-sutyen/
52,Summer Sale,Lingerie,Külot,https://www.marksandspencer.com.tr/indirim-kulot/
53,Summer Sale,Lingerie,Uyku Koleksiyonları,https://www.marksandspencer.com.tr/indirim-uykukoleksiyonlari/
54,Summer Sale,Lingerie,Atlet,https://www.marksandspencer.com.tr/indirim-atlet/
55,Summer Sale,Lingerie,Korse,https://www.marksandspencer.com.tr/indirim-korse/
56,Summer Sale,Lingerie,Çorap,https://www.marksandspencer.com.tr/indirim-corap/
57,Lingerie,Sleepwear,Uyku Koleksiyonları,https://www.marksandspencer.com.tr/uyku-koleksiyonlari/
58,Lingerie,Sleepwear,Yeni Gelen Uyku Koleksiyonu,https://www.marksandspencer.com.tr/kadin-yeni-gelen-uyku-koleksiyonu/
60,Lingerie,Sleepwear,Pijamalar,https://www.marksandspencer.com.tr/kadin-pijamalar/
61,Lingerie,Sleepwear,Pijama Takımı,https://www.marksandspencer.com.tr/kadin-pijama-takimi/
62,Lingerie,Sleepwear,Pijama Altı,https://www.marksandspencer.com.tr/kadin-pijama-alti/
63,Lingerie,Sleepwear,Pijama Üstü,https://www.marksandspencer.com.tr/kadin-pijama-ustu/
64,Lingerie,Sleepwear,Hediyelik Paketli Pijama,https://www.marksandspencer.com.tr/hediyelik-paketli-pijama/
65,Lingerie,Sleepwear,Gecelik,https://www.marksandspencer.com.tr/kadin-gecelik/
66,Lingerie,Sleepwear,Sabahlık,https://www.marksandspencer.com.tr/kadin-sabahlik/
67,Men,Sleepwear,Pijamalar,https://www.marksandspencer.com.tr/erkek-pijamalar/
68,Men,Sleepwear,Pijama Altı,https://www.marksandspencer.com.tr/erkek-pijama-alti/
69,Men,Sleepwear,Pijama Üstü,https://www.marksandspencer.com.tr/erkek-pijama-ustu/
70,Men,Sleepwear,Pijama Takımı,https://www.marksandspencer.com.tr/erkek-pijama-takimi/
71,Men,Sleepwear,Sabahlık,https://www.marksandspencer.com.tr/erkek-sabahlik/
72,Main,,İç Giyim (Lingerie),https://www.marksandspencer.com.tr/ic-giyim/
